player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
687,Destiny Udogie,Defender,,,Tottenham,0,0,0.0,0
688,Kevin Danso,Defender,,,Tottenham,0,0,0.0,0
689,Mathys Tel,Forward,,,Tottenham,0,0,0.0,0
690,Randal Kolo Muani,Forward,,,Tottenham,0,0,0.0,0
691,Archie Gray,Midfielder,ENG,,Tottenham,0,0,0.0,0
692,Dominic Solanke,Forward,ENG,,Tottenham,0,0,0.0,0
693,Jun'ai Byfield,Defender,ENG,,Tottenham,0,0,0.0,0
694,Ben Davies,Defender,WLS,,Tottenham,0,0,0.0,0
695,Antonín Kinský,Goalkeeper,,,Tottenham,0,0,0.0,0
696,Dane Scarlett,Forward,ENG,,Tottenham,0,0,0.0,0
697,Manor Solomon,Forward,,,Tottenham,0,0,0.0,0
698,Luka Vušković,Defender,,,Tottenham,0,0,0.0,0
699,João Pedro,Forward,,,Chelsea,0,0,0.0,0
700,Robert Sánchez,Goalkeeper,,,Chelsea,0,0,0.0,0
701,Pedro Neto,Forward,,,Chelsea,0,0,0.0,0
702,Moisés Caicedo,Midfielder,,,Chelsea,0,0,0.0,0
703,Marc Cucurella,Defender,,,Chelsea,0,0,0.0,0
704,Enzo Fernández,Midfielder,,,Chelsea,0,0,0.0,0
705,Trevoh Chalobah,Defender,ENG,,Chelsea,0,0,0.0,0
706,Reece James,Defender,ENG,,Chelsea,0,0,0.0,0
707,Malo Gusto,Defender,,,Chelsea,0,0,0.0,0
708,Joshua Acheampong,Defender,ENG,,Chelsea,0,0,0.0,0
709,Estêvão Willian,Forward,,,Chelsea,0,0,0.0,0
710,Alejandro Garnacho,Forward,,,Chelsea,0,0,0.0,0
711,Tosin Adarabioyo,Defender,ENG,,Chelsea,0,0,0.0,0
712,Wesley Fofana,Defender,,,Chelsea,0,0,0.0,0
713,Jamie Gittens,Forward,ENG,,Chelsea,0,0,0.0,0
714,Andrey Santos,Midfielder,,,Chelsea,0,0,0.0,0
715,Jorrel Hato,Defender,,,Chelsea,0,0,0.0,0
716,Cole Palmer,Midfielder,ENG,,Chelsea,0,0,0.0,0
717,Liam Delap,Forward,ENG,,Chelsea,0,0,0.0,0
719,Roméo Lavia,Midfielder,,,Chelsea,0,0,0.0,0
720,Benoît Badiashile,Defender,,,Chelsea,0,0,0.0,0
721,Facundo Buonanotte,Midfielder,,,Chelsea,0,0,0.0,0
722,Tyrique George,Forward,ENG,,Chelsea,0,0,0.0,0
723,Filip Jørgensen,Goalkeeper,,,Chelsea,0,0,0.0,0
724,Landon Emenalo,Midfielder,ENG,,Chelsea,0,0,0.0,0
725,Dario Essugo,Midfielder,,,Chelsea,0,0,0.0,0
726,Gaga Slonina,Goalkeeper,,,Chelsea,0,0,0.0,0
727,Matthijs de Ligt,Defender,,,Manchester Utd,0,0,0.0,0
728,Bruno Fernandes,Midfielder,,,Manchester Utd,0,0,0.0,0
729,Bryan Mbeumo,Midfielder,,,Manchester Utd,0,0,0.0,0
730,Luke Shaw,Defender,ENG,,Manchester Utd,0,0,0.0,0
731,Amad Diallo,Defender,,,Manchester Utd,0,0,0.0,0
732,Casemiro,Midfielder,,,Manchester Utd,0,0,0.0,0
733,Leny Yoro,Defender,,,Manchester Utd,0,0,0.0,0
734,Matheus Cunha,Midfielder,,,Manchester Utd,0,0,0.0,0
735,Diogo Dalot,Defender,,,Manchester Utd,0,0,0.0,0
736,Benjamin Šeško,Forward,,,Manchester Utd,0,0,0.0,0
737,Altay Bayındır,Goalkeeper,,,Manchester Utd,0,0,0.0,0
738,Patrick Dorgu,Defender,,,Manchester Utd,0,0,0.0,0
739,Mason Mount,Midfielder,ENG,,Manchester Utd,0,0,0.0,0
740,Senne Lammens,Goalkeeper,,,Manchester Utd,0,0,0.0,0
741,Harry Maguire,Defender,ENG,,Manchester Utd,0,0,0.0,0
742,Manuel Ugarte,Midfielder,,,Manchester Utd,0,0,0.0,0
743,Noussair Mazraoui,Defender,,,Manchester Utd,0,0,0.0,0
744,Kobbie Mainoo,Midfielder,ENG,,Manchester Utd,0,0,0.0,0
745,Joshua Zirkzee,Forward,,,Manchester Utd,0,0,0.0,0
746,Ayden Heaven,Defender,ENG,,Manchester Utd,0,0,0.0,0
747,Tyler Fredricson,Defender,ENG,,Manchester Utd,0,0,0.0,0
